,일시,평균기온,최저기온,최고기온,일강수량,평균풍속,평균상대습도,합계일조시간
0,2019-01-01,-5.0,-8.2,-0.6,0.0,2.1,49.5,7.5
1,2019-01-02,-4.9,-8.8,0.2,0.0,1.7,42.8,8.7
2,2019-01-03,-3.5,-8.4,3.2,0.0,1.4,38.8,8.7
3,2019-01-04,-1.1,-6.2,4.1,0.0,1.2,55.5,3.9
4,2019-01-05,-2.8,-5.5,1.1,0.0,2.2,40.3,8.6
5,2019-01-06,-2.8,-6.3,2.7,0.0,1.2,35.0,7.7
6,2019-01-07,-1.9,-6.2,3.1,0.0,1.4,46.4,7.0
7,2019-01-08,-3.5,-7.2,0.5,0.0,2.6,31.0,8.7
8,2019-01-09,-4.7,-9.4,1.3,0.0,1.3,28.8,7.4
9,2019-01-10,-0.6,-4.5,3.0,0.0,1.3,48.8,3.1
10,2019-01-11,2.4,-0.4,7.2,0.0,1.0,58.8,6.9
11,2019-01-12,2.8,-0.6,8.0,0.0,1.3,47.6,6.0
12,2019-01-13,1.2,-3.0,7.6,0.0,1.4,54.3,8.6
13,2019-01-14,1.4,-2.4,5.3,0.0,0.9,68.6,0.4
14,2019-01-15,-1.7,-7.2,2.6,0.0,2.7,58.8,4.7
15,2019-01-16,-5.2,-10.1,-1.1,0.0,2.3,45.9,8.6
16,2019-01-17,-0.3,-3.2,4.0,0.0,1.7,45.8,8.7
17,2019-01-18,0.6,-4.6,6.7,0.0,1.3,44.0,8.5
18,2019-01-19,3.6,0.0,8.5,0.0,1.2,59.8,2.9
19,2019-01-20,-1.4,-5.5,4.0,0.0,3.2,38.5,8.8
20,2019-01-21,-1.2,-6.7,4.2,0.0,1.6,57.8,1.0
21,2019-01-22,1.7,-3.3,7.1,0.0,1.7,62.0,8.5
22,2019-01-23,2.0,-0.8,7.0,0.0,2.3,48.9,8.6
23,2019-01-24,0.1,-4.6,6.5,0.0,1.7,34.9,8.8
24,2019-01-25,-1.2,-3.8,2.6,0.0,2.6,27.6,8.7
25,2019-01-26,-2.5,-6.5,2.4,0.0,2.4,30.9,8.8
26,2019-01-27,-0.1,-6.6,5.1,0.0,1.7,52.5,6.7
